name,salary_from,salary_to,salary_currency,area_name,published_at
Product owner/Владелец продукта/Head of the product,,,,Новосибирск,2022-12-02T10:37:51+0300
Web-разработчик (Junior),35000.0,,RUR,Киров (Кировская область),2022-12-02T11:53:25+0300
Программист SQL,65000.0,,RUR,Самара,2022-12-02T10:36:06+0300
Frontend-разработчик (React),,,,Москва,2022-12-02T11:33:45+0300
Менеджер проектов в команду потребления контента и рекомендаций,,,,Санкт-Петербург,2022-12-02T08:32:06+0300
Системный администратор,120000.0,,RUR,Нижний Новгород,2022-12-02T10:34:45+0300
Специалист отдела информационных технологий,50000.0,,RUR,Астрахань,2022-12-02T11:59:33+0300
Junior Data Scientist (Стажер),,,,Томск,2022-12-02T09:26:22+0300
Специалист-аналитик (информационная аналитика),80000.0,,RUR,Москва,2022-12-02T10:25:06+0300
Руководитель проекта / Проектный офис,,,,Нижний Новгород,2022-12-02T11:52:38+0300
Data Scientist,,,,Новосибирск,2022-12-02T10:27:04+0300
Infographic designer / Информационный дизайнер,,,,Москва,2022-12-02T10:09:12+0300
Токарь,85000.0,,RUR,Санкт-Петербург,2022-12-02T09:23:15+0300
Инженер технической поддержки,35000.0,50000.0,RUR,Ярославль,2022-12-02T10:19:36+0300
Специалист технической поддержки,200000.0,250000.0,KZT,Алматы,2022-12-02T09:18:00+0300
Системный администратор,29000.0,30000.0,RUR,Ульяновск,2022-12-02T09:55:16+0300
Копирайтер,,,,Ташкент,2022-12-02T09:59:37+0300
Junior Data Scientist (Стажер),,,,Новосибирск,2022-12-02T09:26:22+0300
Сервисный инженер по обслуживанию банкоматов / АТМ,50000.0,,RUR,Санкт-Петербург,2022-12-02T08:56:52+0300
Product Analyst,,,,Москва,2022-12-02T11:18:26+0300
Дежурный Сетевой инженер,,,,Ташкент,2022-12-02T07:53:24+0300
Оператор на машину тиснения бумаги (эмбоссер),45000.0,,RUR,Белгород,2022-12-02T10:05:24+0300
Специалист в копицентр по работе с клиентами (оператор печати),45000.0,60000.0,RUR,Санкт-Петербург,2022-12-02T09:58:29+0300
Программист Delphi,120000.0,,RUR,Москва,2022-12-02T10:43:07+0300
Business Analyst,400000.0,600000.0,KZT,Астана,2022-12-02T08:52:15+0300
Веб-программист 1С-Битрикс,30000.0,,RUR,Кемерово,2022-12-02T08:53:09+0300
Product owner (Блокчейн),,,,Москва,2022-12-02T10:01:49+0300
Junior Data Scientist (Стажер),,,,Иркутск,2022-12-02T09:26:22+0300
.net Разработчик,,,,Курск,2022-12-02T10:28:16+0300
Аналитик данных,150000.0,,RUR,Владивосток,2022-12-02T10:39:20+0300
Графический дизайнер,,,,Москва,2022-12-02T09:39:35+0300
Главный специалист технического маркетинга,,,,Москва,2022-12-02T10:15:31+0300
Java-разработчик,200000.0,,RUR,Москва,2022-12-02T11:00:25+0300
Аналитик данных (Real Estate),,,,Москва,2022-12-02T11:50:00+0300
Backend-разработчик,30000.0,60000.0,RUR,Барнаул,2022-12-02T06:15:35+0300
Монтажник оборудования связи,50000.0,,RUR,Калининград,2022-12-02T11:28:33+0300
Технический писатель (аккредитованная IT-компания),30000.0,50000.0,RUR,Чебоксары,2022-12-02T09:12:36+0300
Программист 1С,140000.0,,RUR,Саратов,2022-12-02T10:34:16+0300
Инженер по обслуживанию банкоматов,37000.0,50000.0,RUR,Саратов,2022-12-02T07:36:19+0300
